Student Name, Grades, Mean
['Davis Frank', [80, 70, 80, 70, 70, 85], 75.83]
['Dodd George', [90, 90, 80, 80, 80, 90], 85.0]
['Floyd Arnold', [90, 80, 80, 80, 90, 90], 85.0]
['Gino Michelle', [90, 70, 80, 70, 80, 85], 79.17]
['Hanks David', [80, 90, 70, 70, 80, 90], 80.0]
['Hires George', [60, 70, 70, 70, 60, 85], 69.17]
['James Ray', [80, 80, 80, 80, 80, 90], 81.67]
['Johnson Jack', [70, 70, 70, 80, 70, 95], 75.83]
['Kellog Ellen', [70, 80, 70, 70, 60, 90], 73.33]
['Little Joyce', [80, 70, 70, 70, 70, 85], 74.17]
['Lloyd Oliver', [60, 80, 70, 60, 70, 80], 70.0]
['Oldman Lea', [70, 70, 70, 70, 70, 90], 73.33]
['Paul Helen', [90, 80, 80, 90, 90, 90], 86.67]
['Pierre Frenchie', [70, 70, 70, 70, 70, 85], 72.5]
['Pope Lea', [70, 80, 80, 70, 70, 90], 76.67]
['Rankle Violet', [80, 80, 80, 80, 80, 90], 81.67]
['Reece Clara', [70, 70, 70, 70, 80, 85], 74.17]
['Rivera Nelson', [70, 70, 70, 60, 80, 80], 71.67]
['Sax Lola', [60, 80, 60, 60, 60, 80], 66.67]
['Serot Xavier', [80, 80, 90, 90, 90, 90], 86.67]
['Sossman Warren', [70, 50, 60, 70, 70, 80], 66.67]
['Tao Sara', [70, 70, 70, 70, 60, 85], 70.83]
['Tatter Jennifer', [90, 70, 80, 80, 80, 90], 81.67]
['Todd Leo', [90, 80, 80, 70, 70, 90], 80.0]
['Webb Paris', [70, 70, 80, 60, 60, 80], 70.0]
['Williams Martin', [80, 80, 80, 80, 90, 90], 83.33]
['Xavier Felix', [80, 80, 70, 80, 70, 85], 77.5]
['Yao Jackie', [90, 80, 80, 90, 80, 90], 85.0]
['Yates Forest', [90, 90, 80, 90, 90, 90], 88.33]
['Zera Paul', [80, 80, 80, 80, 80, 85], 80.83]
